,pos,url,crawl_day
175,33,https://www.eldebate.com/sociedad/20221004/captagon-droga-terroristas-aterriza-europa_63852.html#disqus_thread_box,2022-10-04
176,34,https://www.eldebate.com/espana/comunidad-valenciana/20221004/poco-gusto-puig-dar-explicaciones-tres-meses-someterse-sesion-control_63870.html#disqus_thread_box,2022-10-04
177,35,https://www.eldebate.com/familia/20221004/que-harian-jovenes-semana-movil_63822.html#disqus_thread_box,2022-10-04
178,36,https://www.eldebate.com/ciencia/20221004/medio-millon-euros-vivir-como-cientifico-diez-dias_63845.html#disqus_thread_box,2022-10-04
179,37,https://www.eldebate.com/motor/20221004/esta-conducta-riesgo-multiplicado-tres-fallecidos-carretera_63829.html#disqus_thread_box,2022-10-04
180,39,https://www.eldebate.com/cine-tv-series/20221004/discurso-jesus-quintero-le-dejo-programa-otros-grandes-momentos-loco-colina_63882.html#disqus_thread_box,2022-10-04
181,40,https://www.eldebate.com/gente/20221004/un-aniversario-manchado-y-un-divorcio-inminente-se-cumplen-25-anos-de-la-boda-de-la-infanta-cristina-e-inaki-urdangarin_63769.html#disqus_thread_box,2022-10-04
182,41,https://www.eldebate.com/cultura/musica/20221004/cuarenta-anos-glenn-gould-pianista-susurraba-teclados_63848.html#disqus_thread_box,2022-10-04
183,42,https://www.eldebate.com/cine-tv-series/20221004/the-crown-rueda-mallorca-escenas-prohibidas-lady-di_63827.html#disqus_thread_box,2022-10-04
184,43,https://www.eldebate.com/cultura/musica/20221004/mexico-espana-dan-mano-gracias-mujer_63841.html#disqus_thread_box,2022-10-04
185,44,https://www.eldebate.com/motor/20221004/que-sirve-poner-naranja-volante-que-nunca-debes-hacerlo_63854.html#disqus_thread_box,2022-10-04
186,45,https://www.eldebate.com/cine-tv-series/20221004/joaquin-betis-mete-miedo-telecinco_63859.html#disqus_thread_box,2022-10-04
187,46,https://www.eldebate.com/estilo-vida/restaurantes/20221004/asi-taberna-neocastiza-favorita-ayuso_63753.html#disqus_thread_box,2022-10-04
188,47,https://www.eldebate.com/ciencia/20221004/aparece-misterioso-objeto-pata-helicoptero-ingenuity-marte_63843.html#disqus_thread_box,2022-10-04
189,48,https://www.eldebate.com/tecnologia/20221004/wifi-7-tiene-fecha-promete-velocidades-vertigo_61831.html#disqus_thread_box,2022-10-04
190,49,https://www.eldebate.com/cine-tv-series/20221003/norma-duval-harta-abandona-cocinas-masterchef_63899.html#disqus_thread_box,2022-10-04
191,50,https://www.eldebate.com/historia/20221004/4-septiembre-1922-fascistas-atacan-bolzano_63777.html#disqus_thread_box,2022-10-04
192,53,https://www.eldebate.com/salud-y-bienestar/20221004/papel-universidad-ambito-cientifico_61870.html#disqus_thread_box,2022-10-04
193,54,https://www.eldebate.com/internacional/20221004/rusia-deja-desolada-frontera-finlandia-desplegar-mas-soldados-ucrania_63831.html#disqus_thread_box,2022-10-04
